Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;;;Viajero;Total;;2026M04;10.211.051
Total Nacional;;;Viajero;Total;;2026M03;8.270.160
Total Nacional;;;Viajero;Total;;2026M02;6.594.807
Total Nacional;;;Viajero;Total;;2026M01;5.948.424
Total Nacional;;;Viajero;Total;;2025M12;6.937.385
Total Nacional;;;Viajero;Total;;2025M11;7.413.495
Total Nacional;;;Viajero;Total;;2025M10;11.041.430
Total Nacional;;;Viajero;Total;;2025M09;12.050.972
Total Nacional;;;Viajero;Total;;2025M08;13.828.672
Total Nacional;;;Viajero;Total;;2025M07;13.044.764
Total Nacional;;;Viajero;Total;;2025M06;12.256.716
Total Nacional;;;Viajero;Total;;2025M05;11.803.477
Total Nacional;;;Viajero;Total;;2025M04;10.049.832
Total Nacional;;;Viajero;Total;;2025M03;7.708.029
Total Nacional;;;Viajero;Total;;2025M02;6.542.730
Total Nacional;;;Viajero;Total;;2025M01;5.774.050
Total Nacional;;;Viajero;Total;Residentes en España;2026M04;4.704.480
Total Nacional;;;Viajero;Total;Residentes en España;2026M03;4.086.410
Total Nacional;;;Viajero;Total;Residentes en España;2026M02;3.291.438
Total Nacional;;;Viajero;Total;Residentes en España;2026M01;2.942.666
Total Nacional;;;Viajero;Total;Residentes en España;2025M12;3.777.442
Total Nacional;;;Viajero;Total;Residentes en España;2025M11;3.819.809
Total Nacional;;;Viajero;Total;Residentes en España;2025M10;4.645.026
Total Nacional;;;Viajero;Total;Residentes en España;2025M09;5.085.693
Total Nacional;;;Viajero;Total;Residentes en España;2025M08;6.409.255
Total Nacional;;;Viajero;Total;Residentes en España;2025M07;5.842.459
Total Nacional;;;Viajero;Total;Residentes en España;2025M06;5.440.374
Total Nacional;;;Viajero;Total;Residentes en España;2025M05;4.933.125
Total Nacional;;;Viajero;Total;Residentes en España;2025M04;4.593.215
Total Nacional;;;Viajero;Total;Residentes en España;2025M03;3.794.808
Total Nacional;;;Viajero;Total;Residentes en España;2025M02;3.423.944
Total Nacional;;;Viajero;Total;Residentes en España;2025M01;2.916.184
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2026M04;5.506.571
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2026M03;4.183.750
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2026M02;3.303.369
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2026M01;3.005.758
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2025M12;3.159.943
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2025M11;3.593.686
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2025M10;6.396.404
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2025M09;6.965.279
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2025M08;7.419.417
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2025M07;7.202.305
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2025M06;6.816.343
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2025M05;6.870.352
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2025M04;5.456.618
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2025M03;3.913.221
Total Nacional;;;Viajero;Total;Residentes en el Extranjero;2025M02;3.118.786
